mean dn,std dev dn,mean n,std dev n,mean dp,std dev dp,mean p,std dev p,mean e,std dev e,dn,n,dndegen,ndegen,dp,p,e,eb,t,mue,nb,yp,k,cost,k,cost,phi
2.6923450420974865e-06,0.0,2.3303159414754134e-06,2.342909906825397e-08,7.521677491881583e-07,4.958801598546859e-07,6.671151740218723e+59,2.1096028565890774e+60,1.4098675589782114e-08,1.3446036644453277e-10,2.6611564924924033e-06,2.310976231407889e-06,2.2406778238457786e-05,0.0005187481433953994,2.0152498329012918e-07,3.774030219016936e-07,5.7503114944841945e-08,0.008263438380664888,0.09537401993922057,-0.09471455516431251,0.00031662004095185724,0.1613341527304788,0.13677647072821053,0.499729762466385,0.13168713938289361,-0.10527452859978448,1.2920941514688566
1.4137470582971449e-05,0.0,8.53920382677799e-06,4.0932653448168486e-08,1.5788885109115564e-06,4.892024234602615e-07,7.418401018065308e-07,1.9284800062097595e-07,5.5717996803498334e-08,3.7752173803717444e-10,1.375659222305544e-05,9.316916673666237e-06,1.014182923394671e-05,0.00011100526756200216,3.2390658569527423e-07,4.3947123162045515e-07,7.535947820013908e-08,0.024427528591448,0.04346862390404688,0.01795701288666771,0.001140008059615076,0.0460065670573086,0.13677647072821053,0.499729762466385,0.13168713938289361,-0.10527452859978448,1.2920941514688566
4.119362579291976e-07,0.0,7.345869019260528e-07,8.385573968063458e-09,2.928599784486219e-08,1.0014823821403175e-08,6.08941160119416e-08,2.522124462366083e-08,1.1603379877894116e-08,7.684609585681521e-11,4.951234280172368e-07,8.056029188892243e-07,2.156921860979484e-05,0.0004734969220551371,1.066848734792365e-08,3.59248672085222e-08,9.195883535081067e-09,0.12531536410178837,0.09145237504667125,-0.47367924571185477,9.393851656116637e-05,0.03555696804763375,0.13677647072821053,0.499729762466385,0.13168713938289361,-0.10527452859978448,1.2920941514688566
3.77086572806583e-08,0.0,1.4716444000294348e-07,1.561244004898207e-09,1.298530299975462e-08,9.451841912836634e-09,3.4179920785564093e+52,1.0782458752048101e+53,2.9893210164328318e-09,3.3772723553303165e-11,3.528738532655313e-08,1.3700469005330904e-07,5.539855103565383e-07,0.0002591450104244346,6.969775293862146e-10,2.2612883136527832e-08,2.672617720880962e-09,0.008263438380664888,0.09537401993922057,-0.09471455516431251,0.00031662004095185724,0.1613341527304788,0.03338938796393426,-0.6720013205190112,0.019301300121208287,0.34848279370559254,3.9595900030669657
3.3227612837304167e-07,0.0,5.247636164251257e-07,6.157877376790669e-09,3.1685300667334535e-08,1.683854151926991e-08,5.4227653691296516e-08,3.663485643759388e-08,6.5289795838034035e-09,6.337200366139381e-11,3.078166154658715e-07,5.334014405591353e-07,2.7162602521317626e-07,3.267190422380236e-05,7.450199082637604e-09,2.7427969191283124e-08,6.1287154486069204e-09,0.024427528591448,0.04346862390404688,0.01795701288666771,0.001140008059615076,0.0460065670573086,0.03338938796393426,-0.6720013205190112,0.019301300121208287,0.34848279370559254,3.9595900030669657
3.268802763818602e-09,0.0,7.438797264116831e-08,7.303859992031563e-10,2.6637177435996965e-11,1.8204838761614668e-11,4.5556138001568505e-09,1.7872679441076469e-09,1.383745555638679e-09,1.2283096429285015e-11,3.025719866228442e-09,8.117598521529444e-08,5.33129010719551e-07,0.00023092428331670926,8.567664699896992e-12,4.624816364249179e-09,1.0611584958172812e-09,0.12531536410178837,0.09145237504667125,-0.47367924571185477,9.393851656116637e-05,0.03555696804763375,0.03338938796393426,-0.6720013205190112,0.019301300121208287,0.34848279370559254,3.9595900030669657
1.8958755470498576e-09,0.0,1.4476114184006852e-05,9.76610862934769e-08,1.783911147404821e-10,3.217451982504676e-10,7.165812063310122e-06,2.67048975121403e-06,3.3361406855792453e-07,3.097192841422086e-09,1.541930751887254e-09,1.1646197753643313e-05,4.577336101541801e-06,0.005055721512088284,7.767071795027085e-11,3.4186719529241357e-06,4.458727605201766e-07,0.06734506553994588,0.23914504450106394,-0.4760565665907649,0.0013472982383432221,0.24201742001352167,0.15732002732013395,-0.4708684510760657,0.034265689516470355,-0.41564708625532143,1.136653797663521
1.1145855577851762e-09,0.0,6.407967959428809e-06,5.135030042198875e-08,1.6788041948340937e-10,2.8282395868563826e-10,1.917403067332765e-06,8.72490450484618e-07,7.999618745072026e-08,6.65812800860678e-10,9.160657454420591e-10,5.1236906629319454e-06,4.618138127883129e-06,0.005207828302172722,2.8570746561740983e-11,6.631233823915071e-07,1.0331985128661766e-07,0.07471143656321587,0.2419303670615861,-0.8904045709247184,0.0005109743458140872,0.12218643910585025,0.15732002732013395,-0.4708684510760657,0.034265689516470355,-0.41564708625532143,1.136653797663521
1.0384151345733259e-10,0.0,3.0261037623488384e-05,3.786444276535312e-07,6.092422594168011e-16,1.1404915880388634e-15,4.5914425653394857e+232,1.4519416251183085e+233,1.730878128427977e-08,2.463499207728072e-10,7.358970841255958e-11,2.6752604980761133e-05,3.7258581348475528e-06,0.0025037936940649754,1.2337101690150348e-13,8.733704211836188e-06,3.525402910793007e-07,0.007081132486234431,0.18055167586150572,0.026510122917644513,0.0032622936637428336,0.2798707256559603,0.15732002732013395,-0.4708684510760657,0.034265689516470355,-0.41564708625532143,1.136653797663521
5.381092182899276e-09,0.0,1.3949929204776242e-05,1.0615521556146393e-07,1.2417655294783829e-09,1.5628841439097262e-09,1.1398483660320819e-05,6.14273134954325e-06,1.9780486769676968e-07,1.91604900766412e-09,4.366398809086714e-09,1.1181253385169873e-05,5.102775925518223e-06,0.005016606176315843,6.675838368450362e-11,3.301832065132916e-06,2.4582542796594764e-07,0.06734506553994588,0.23914504450106394,-0.4760565665907649,0.0013472982383432221,0.24201742001352167,0.15456100760271807,-0.7032170377410321,0.035276988817654564,-0.5864581683178609,2.372293389457816
